row,scene_id,phase,consensus_tier,n_distinct_tiers,n_methods,tier_mean_pn,tier_median_pn,tier_max_pn,tier_top3_mean_pn,tier_pca_pc1,tier_kmeans3,tier_kmeans5,tier_kmeans8,tier_gmm3,tier_ward3,tier_dbscan
0,scene1.library.fountain,0,hard,3,11,hard,hard,hard,hard,hard,medium,hard,hard,medium,easy,degenerate
1,scene1.library.fountain,1,hard,2,11,hard,medium,hard,hard,hard,hard,medium,medium,medium,hard,degenerate
2,scene1.library.fountain,2,hard,3,11,hard,hard,hard,hard,hard,medium,easy,medium,medium,easy,degenerate
3,scene10.ecsn.4f.sofa,0,medium,3,11,hard,hard,medium,medium,medium,medium,hard,easy,easy,easy,degenerate
4,scene10.ecsn.4f.sofa,1,easy,3,11,medium,hard,hard,hard,medium,easy,easy,medium,easy,easy,degenerate
5,scene10.ecsn.4f.sofa,2,easy,3,11,medium,easy,hard,hard,easy,easy,easy,medium,easy,easy,degenerate
6,scene100.jsom.atrium,0,hard,3,11,medium,medium,hard,hard,hard,medium,hard,hard,hard,easy,degenerate
7,scene100.jsom.atrium,1,medium,3,11,medium,medium,hard,medium,medium,medium,easy,easy,easy,easy,degenerate
8,scene100.jsom.atrium,2,easy,3,11,medium,medium,hard,easy,easy,easy,easy,easy,easy,easy,degenerate
9,scene11.ecss.4f.sofa,0,easy,2,11,easy,easy,medium,easy,easy,easy,easy,easy,easy,easy,degenerate
10,scene11.ecss.4f.sofa,1,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
11,scene11.ecss.4f.sofa,2,easy,2,11,easy,easy,medium,medium,easy,easy,easy,easy,easy,easy,degenerate
12,scene12.ecss.4f.sofa,0,hard,3,11,hard,medium,hard,hard,hard,medium,hard,hard,medium,easy,degenerate
13,scene12.ecss.4f.sofa,1,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
14,scene12.ecss.4f.sofa,2,easy,2,11,easy,easy,medium,easy,easy,easy,easy,easy,easy,easy,degenerate
15,scene13.ecss.4f.sofa,0,easy,2,11,easy,easy,medium,easy,medium,medium,easy,easy,easy,easy,degenerate
16,scene13.ecss.4f.sofa,1,easy,2,11,easy,easy,easy,easy,medium,easy,easy,easy,easy,easy,degenerate
17,scene13.ecss.4f.sofa,2,easy,2,11,easy,easy,hard,easy,easy,easy,easy,easy,easy,easy,degenerate
18,scene14.ecss.4f.sofa,0,hard,3,11,hard,hard,medium,hard,hard,medium,hard,hard,medium,easy,degenerate
19,scene14.ecss.4f.sofa,1,medium,3,11,easy,medium,medium,hard,hard,hard,medium,medium,medium,easy,degenerate
20,scene14.ecss.4f.sofa,2,easy,2,11,medium,medium,medium,medium,easy,easy,easy,easy,easy,easy,degenerate
21,scene15.ecss.4f.sofa,0,easy,2,11,easy,easy,medium,easy,easy,easy,easy,easy,easy,easy,degenerate
22,scene15.ecss.4f.sofa,1,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
23,scene15.ecss.4f.sofa,2,easy,2,11,easy,easy,medium,medium,easy,easy,easy,easy,easy,easy,degenerate
24,scene16.SU.CHECKERBOARD,0,hard,3,11,hard,medium,medium,hard,hard,medium,hard,hard,medium,easy,degenerate
25,scene16.SU.CHECKERBOARD,1,hard,2,11,hard,hard,medium,hard,hard,hard,medium,medium,medium,hard,degenerate
26,scene16.SU.CHECKERBOARD,2,easy,2,11,medium,medium,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
27,scene17.SU.CHECKERBOARD,0,hard,3,11,hard,hard,easy,medium,hard,medium,hard,medium,medium,hard,degenerate
28,scene17.SU.CHECKERBOARD,1,easy,1,11,easy,easy,easy,easy,easy,easy,easy,easy,easy,easy,degenerate
29,scene17.SU.CHECKERBOARD,2,easy,3,11,hard,hard,easy,medium,medium,easy,easy,medium,easy,easy,degenerate
30,scene18.su.CHECKERBOARD,0,hard,3,11,hard,hard,easy,medium,hard,medium,hard,hard,medium,easy,degenerate
31,scene18.su.CHECKERBOARD,1,hard,3,11,hard,hard,hard,medium,hard,hard,easy,medium,medium,easy,degenerate
32,scene18.su.CHECKERBOARD,2,medium,3,11,hard,hard,medium,medium,hard,hard,medium,medium,medium,easy,degenerate
33,scene19.su.CHECKERBOARD,0,easy,3,11,medium,hard,medium,easy,medium,easy,easy,easy,easy,easy,degenerate
34,scene19.su.CHECKERBOARD,1,medium,3,11,medium,hard,medium,medium,hard,easy,easy,easy,medium,easy,degenerate
35,scene19.su.CHECKERBOARD,2,easy,3,11,hard,hard,easy,easy,medium,easy,easy,medium,easy,easy,degenerate
36,scene2.library.fountain,0,hard,3,11,hard,hard,hard,hard,hard,medium,hard,medium,medium,easy,degenerate
37,scene2.library.fountain,1,hard,2,11,hard,medium,hard,hard,hard,hard,medium,medium,medium,hard,degenerate
38,scene2.library.fountain,2,medium,3,11,medium,medium,medium,medium,hard,easy,easy,medium,medium,easy,degenerate
39,scene20.su.CHECKERBOARD,0,medium,3,11,medium,medium,hard,hard,hard,medium,hard,medium,medium,easy,degenerate
