source_catalog_id,object_name,object_id,global_object_id,sos_data_path,questionnaire_path
1,air_duster_can,air_duster_can,1,objects/air_duster_can/,objects_meta/air_duster_can/questionnaire.json
3,alarm_clock,alarm_clock,2,objects/alarm_clock/,objects_meta/alarm_clock/questionnaire.json
5,apple,apple,3,objects/apple/,objects_meta/apple/questionnaire.json
7.1,baking_tray,baking_tray.1,4,objects/baking_tray.1/,objects_meta/baking_tray.1/questionnaire.json
9,banana,banana,5,objects/banana/,objects_meta/banana/questionnaire.json
10,baseball_ball,baseball_ball,6,objects/baseball_ball/,objects_meta/baseball_ball/questionnaire.json
11.1,basting_brush,basting_brush.1,7,objects/basting_brush.1/,objects_meta/basting_brush.1/questionnaire.json
13.2,beanie,beanie.2,8,objects/beanie.2/,objects_meta/beanie.2/questionnaire.json
14.1,bear,bear.1,9,objects/bear.1/,objects_meta/bear.1/questionnaire.json
17.3,book,book.3,10,objects/book.3/,objects_meta/book.3/questionnaire.json
18.2,boot,boot.2,11,objects/boot.2/,objects_meta/boot.2/questionnaire.json
20.1,bowl,bowl.1,12,objects/bowl.1/,objects_meta/bowl.1/questionnaire.json
23,cable,cable,13,objects/cable/,objects_meta/cable/questionnaire.json
25.1,candy_bar,candy_bar.1,14,objects/candy_bar.1/,objects_meta/candy_bar.1/questionnaire.json
34,cleaning_brush,cleaning_brush,15,objects/cleaning_brush/,objects_meta/cleaning_brush/questionnaire.json
36,coffee_bottle,coffee_bottle,16,objects/coffee_bottle/,objects_meta/coffee_bottle/questionnaire.json
37.1,coffee_can,coffee_can.1,17,objects/coffee_can.1/,objects_meta/coffee_can.1/questionnaire.json
38,cracker_box,cracker_box,18,objects/cracker_box/,objects_meta/cracker_box/questionnaire.json
40.1,cup,cup.1,19,objects/cup.1/,objects_meta/cup.1/questionnaire.json
43.1,doll,doll.1,20,objects/doll.1/,objects_meta/doll.1/questionnaire.json
49.1,fry_pan,fry_pan.1,21,objects/fry_pan.1/,objects_meta/fry_pan.1/questionnaire.json
50,food_bag,food_bag,22,objects/food_bag/,objects_meta/food_bag/questionnaire.json
55,game_controller,game_controller,23,objects/game_controller/,objects_meta/game_controller/questionnaire.json
57.2,glove,glove.2,24,objects/glove.2/,objects_meta/glove.2/questionnaire.json
58.1,glue_bottle,glue_bottle.1,25,objects/glue_bottle.1/,objects_meta/glue_bottle.1/questionnaire.json
62,hair_brush,hairbrush,26,objects/hairbrush/,objects_meta/hairbrush/questionnaire.json
63.2,hammer,hammer.2,27,objects/hammer.2/,objects_meta/hammer.2/questionnaire.json
65,handy_pot,handy_pot,28,objects/handy_pot/,objects_meta/handy_pot/questionnaire.json
66.1,hat,hat.1,29,objects/hat.1/,objects_meta/hat.1/questionnaire.json
67,headphone,headphone,30,objects/headphone/,objects_meta/headphone/questionnaire.json
68,helmet,helmet,31,objects/helmet/,objects_meta/helmet/questionnaire.json
70,instant_noodle_packet,instant_noodle_packet,32,objects/instant_noodle_packet/,objects_meta/instant_noodle_packet/questionnaire.json
71,jar,jar,33,objects/jar/,objects_meta/jar/questionnaire.json
72.1,jello_box,jello_box.1,34,objects/jello_box.1/,objects_meta/jello_box.1/questionnaire.json
73.2,juice_pouch,juice_pouch.2,35,objects/juice_pouch.2/,objects_meta/juice_pouch.2/questionnaire.json
74,kettle,kettle,36,objects/kettle/,objects_meta/kettle/questionnaire.json
77.1,knife,knife.1,37,objects/knife.1/,objects_meta/knife.1/questionnaire.json
78,ladle,ladle,38,objects/ladle/,objects_meta/ladle/questionnaire.json
82.2,lion,lion.2,39,objects/lion.2/,objects_meta/lion.2/questionnaire.json
83.5,marker,marker.5,40,objects/marker.5/,objects_meta/marker.5/questionnaire.json
84,meat_can,meat_can,41,objects/meat_can/,objects_meta/meat_can/questionnaire.json
85.1,milk_box,milk_box.1,42,objects/milk_box.1/,objects_meta/milk_box.1/questionnaire.json
86,milk_jug,milk_jug,43,objects/milk_jug/,objects_meta/milk_jug/questionnaire.json
87.3,mouse,mouse.3,44,objects/mouse.3/,objects_meta/mouse.3/questionnaire.json
88.2,mug,mug.2,45,objects/mug.2/,objects_meta/mug.2/questionnaire.json
89.3,mustard_bottle,mustard_bottle.3,46,objects/mustard_bottle.3/,objects_meta/mustard_bottle.3/questionnaire.json
95,pear,pear,47,objects/pear/,objects_meta/pear/questionnaire.json
96.2,peeler,peeler.2,48,objects/peeler.2/,objects_meta/peeler.2/questionnaire.json
102,power_drill,power_drill,49,objects/power_drill/,objects_meta/power_drill/questionnaire.json
103.2,pringles_can,pringles_can.2,50,objects/pringles_can.2/,objects_meta/pringles_can.2/questionnaire.json
105.2,pump_bottle,pump_bottle.2,51,objects/pump_bottle.2/,objects_meta/pump_bottle.2/questionnaire.json
107,remote_controller,remote_controller,52,objects/remote_controller/,objects_meta/remote_controller/questionnaire.json
109,root_beer_bottle,root_beer_bottle,53,objects/root_beer_bottle/,objects_meta/root_beer_bottle/questionnaire.json
113.1,scissors,scissors.1,54,objects/scissors.1/,objects_meta/scissors.1/questionnaire.json
114,shampoo_bottle,shampoo_bottle,55,objects/shampoo_bottle/,objects_meta/shampoo_bottle/questionnaire.json
117.1,shoe,shoe.1,56,objects/shoe.1/,objects_meta/shoe.1/questionnaire.json
120.3,soda_can,soda_can.3,57,objects/soda_can.3/,objects_meta/soda_can.3/questionnaire.json
121,soft_scrub_cleanser_bottle,soft_scrub_cleanser_bottle,58,objects/soft_scrub_cleanser_bottle/,objects_meta/soft_scrub_cleanser_bottle/questionnaire.json
122.1,soup_can,soup_can.1,59,objects/soup_can.1/,objects_meta/soup_can.1/questionnaire.json
124.2,spatula,spatula.2,60,objects/spatula.2/,objects_meta/spatula.2/questionnaire.json
