task,configurations,input,init_prompt,setting
T1,"DA3 Metric-L, DA-V2 Large, Depth Pro, UniDepth V2, Metric3D V2, MoGe-2 ViT-L, HyDen",single RGB frame,---,metric output; no scale or shift fitting
T1,"Lotus-2, FE2E, ZipDepth",single RGB frame,---,relative output; least-squares scale and shift to D435 depth
T2,"DA3 (video), Video-DA, ViGeo, VGGT, GemDepth, DVD v1.1",phase clip in frame order,---,relative output; one scale and shift per clip
T2,"DepthCrafter, ChronoDepth",phase clip; sliding windows,---,relative output; one scale and shift per clip
T2,RollingDepth,phase clip; streaming,---,relative output; one scale and shift per clip
T2,MonST3R,phase clip; 4-frame multi-view chunks,---,relative output; one scale and shift per clip
T3,"SAM 2 Long, DAM4SAM, EdgeTAM, SAM 2++, SAM 2, Cutie, MiTS, XMem",RGB sequence,ground-truth masks of the first frame,persistent IDs scored one-to-one
T3,SAM 3.1 (bbox),RGB sequence,ground-truth boxes of the first frame,persistent IDs scored one-to-one
T3,"SAM 3.1 (text), GSAM2 (text)",RGB sequence,"one fixed prompt per object and clip: ``$\langle$primary colour$\rangle$ $\langle$object name$\rangle$''",persistent IDs scored one-to-one
T4,all 10 models of Table~\ref{tab:t4},RGB image pair within one capture,---,"Clutter and Clean pairs scored separately (one T265 frame per capture); GT in OpenCV camera axes; frame gap: ---"
T5,Qwen3-VL 8B / 2B,target image + text question,question text,native box output; one scored generation; decoding: ---
T5,"Cosmos Reason2, InternVL 3.5, PaliGemma 2, DeepSeek-VL2, Florence 2 (all sizes)",target image + text question,referring expression from the question,native location tokens; one scored generation; decoding: ---
T6,same 12 configurations as T5,SOS reference image then target image,question referring to the reference,same grounding mode and decoding as T5
T5--T6,all VLMs,---,---,boxes as inclusive pixel XYXY in original image coordinates; missing or invalid box = miss
