scene_id,phase,local_mask_id,object_id,global_object_id,source_catalog_id,object_name,class_name,questionnaire_path,sos_path,sos_data_path,mask_source
scene001,phase0,1,lion.2,39,82.2,lion,lion,objects_meta/lion.2/questionnaire.json,objects/lion.2/,objects/lion.2/,scenes/scene001/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase0,2,boot.2,11,18.2,boot,boot,objects_meta/boot.2/questionnaire.json,objects/boot.2/,objects/boot.2/,scenes/scene001/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase0,3,hammer.2,27,63.2,hammer,hammer,objects_meta/hammer.2/questionnaire.json,objects/hammer.2/,objects/hammer.2/,scenes/scene001/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase0,4,air_duster_can,1,1,air_duster_can,air_duster_can,objects_meta/air_duster_can/questionnaire.json,objects/air_duster_can/,objects/air_duster_can/,scenes/scene001/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase0,5,doll.1,20,43.1,doll,doll,objects_meta/doll.1/questionnaire.json,objects/doll.1/,objects/doll.1/,scenes/scene001/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase0,6,alarm_clock,2,3,alarm_clock,alarm_clock,objects_meta/alarm_clock/questionnaire.json,objects/alarm_clock/,objects/alarm_clock/,scenes/scene001/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase0,7,game_controller,23,55,game_controller,game_controller,objects_meta/game_controller/questionnaire.json,objects/game_controller/,objects/game_controller/,scenes/scene001/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase1,1,lion.2,39,82.2,lion,lion,objects_meta/lion.2/questionnaire.json,objects/lion.2/,objects/lion.2/,scenes/scene001/1/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase1,2,boot.2,11,18.2,boot,boot,objects_meta/boot.2/questionnaire.json,objects/boot.2/,objects/boot.2/,scenes/scene001/1/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase1,3,hammer.2,27,63.2,hammer,hammer,objects_meta/hammer.2/questionnaire.json,objects/hammer.2/,objects/hammer.2/,scenes/scene001/1/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase1,4,air_duster_can,1,1,air_duster_can,air_duster_can,objects_meta/air_duster_can/questionnaire.json,objects/air_duster_can/,objects/air_duster_can/,scenes/scene001/1/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase1,5,doll.1,20,43.1,doll,doll,objects_meta/doll.1/questionnaire.json,objects/doll.1/,objects/doll.1/,scenes/scene001/1/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase1,6,alarm_clock,2,3,alarm_clock,alarm_clock,objects_meta/alarm_clock/questionnaire.json,objects/alarm_clock/,objects/alarm_clock/,scenes/scene001/1/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase1,7,game_controller,23,55,game_controller,game_controller,objects_meta/game_controller/questionnaire.json,objects/game_controller/,objects/game_controller/,scenes/scene001/1/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase2,1,lion.2,39,82.2,lion,lion,objects_meta/lion.2/questionnaire.json,objects/lion.2/,objects/lion.2/,scenes/scene001/2/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase2,2,boot.2,11,18.2,boot,boot,objects_meta/boot.2/questionnaire.json,objects/boot.2/,objects/boot.2/,scenes/scene001/2/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase2,3,hammer.2,27,63.2,hammer,hammer,objects_meta/hammer.2/questionnaire.json,objects/hammer.2/,objects/hammer.2/,scenes/scene001/2/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase2,4,air_duster_can,1,1,air_duster_can,air_duster_can,objects_meta/air_duster_can/questionnaire.json,objects/air_duster_can/,objects/air_duster_can/,scenes/scene001/2/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase2,5,doll.1,20,43.1,doll,doll,objects_meta/doll.1/questionnaire.json,objects/doll.1/,objects/doll.1/,scenes/scene001/2/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase2,6,alarm_clock,2,3,alarm_clock,alarm_clock,objects_meta/alarm_clock/questionnaire.json,objects/alarm_clock/,objects/alarm_clock/,scenes/scene001/2/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene001,phase2,7,game_controller,23,55,game_controller,game_controller,objects_meta/game_controller/questionnaire.json,objects/game_controller/,objects/game_controller/,scenes/scene001/2/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene002,phase0,1,handy_pot,28,65,handy_pot,handy_pot,objects_meta/handy_pot/questionnaire.json,objects/handy_pot/,objects/handy_pot/,scenes/scene002/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene002,phase0,2,milk_box.1,42,85.1,milk_box,milk_box,objects_meta/milk_box.1/questionnaire.json,objects/milk_box.1/,objects/milk_box.1/,scenes/scene002/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene002,phase0,3,tong,66,141,tong,tong,objects_meta/tong/questionnaire.json,objects/tong/,objects/tong/,scenes/scene002/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
scene002,phase0,4,mustard_bottle.3,46,89.3,mustard_bottle,mustard_bottle,objects_meta/mustard_bottle.3/questionnaire.json,objects/mustard_bottle.3/,objects/mustard_bottle.3/,scenes/scene002/0/labels/sam2_meta/v1.tar:sam2/mask_to_object.json
